freq,siec,partner,unit,geo\TIME_PERIOD,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03
M,O4000,RU,THS_T,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
M,O4000,RU,THS_T,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,98.0,118.0,113.0,176.0,65.0,16.0,41.0,32.0,59.0,180.0,160.0,116.0,93.0,75.0,63.0,9.0,141.0,88.0,35.0,30.0,0.0,0.0,0.0,14.0,4.0,86.0,198.0,134.0,22.0,15.0,34.0,50.0,63.0,70.0,91.0,110.0,156.0,83.0,1.0,82.0,73.0,95.0,92.0,110.0,46.0,79.0,31.0,158.0,14.0,21.0,72.0,46.0,41.0,130.0,23.0,15.0,0.0,0.0,0.0,39.0,35.0,6.0,0.0,0.0,0.0,0.0,61.0,9.0,91.0,16.0,21.0,30.0,0.0,80.0,19.0,79.0,33.0,33.0,45.0,0.0,30.632,5.766,83.908,84.013,80.558,119.553,33.636,15.367,42.561,117.451,63.227,50.814,152.185,17.884,20.124,51.926,1.215,40.253,67.152,98.174,47.987,64.099,47.106,73.518,72.868,32.788,35.34,71.245,3.713,35.046,0.572,0.0,0.621,0.332,0.497,0.39,0.707,0.519,0.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
M,O4000,RU,THS_T,BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.0,1355.0,2128.0,1963.0,1501.0,1067.0,1243.0,1230.0,1317.0,1034.0,1012.0,1051.0,1261.0,1301.0,1704.0,1665.0,1682.0,1279.0,1553.0,1465.0,1343.0,1513.0,1314.0,846.0,1447.0,1334.0,1282.0,1219.0,1243.0,1238.0,1294.0,1618.0,1097.0,1089.0,1114.0,1227.0,1806.0,1633.0,1489.0,1194.0,1252.0,1285.0,1250.0,1066.0,1000.0,1053.0,1174.0,1434.0,1976.0,1706.0,1818.0,2082.0,1640.0,1962.0,2022.0,1481.0,1605.0,1510.0,1450.0,1659.0,1778.0,1301.0,1611.0,1281.0,1045.0,1412.0,1460.0,1547.0,1370.0,1540.0,1309.0,1080.0,1493.0,1235.0,1350.0,1364.0,671.0,1173.0,1336.0,1373.0,872.0,1008.0,1156.0,1027.0,1517.9,1051.2,1478.2,1171.0,1345.7,763.7,651.2,826.3,722.0,587.7,789.8,1274.5,1061.1,960.5,967.8,952.3,1176.4,798.9,793.2,910.3,1162.7,883.1,1066.3,1009.4,993.3,1283.4,1108.5,572.6,827.7,663.3,779.1,717.5,687.2,481.5,547.8,385.2,159.8,50.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
M,O4000,RU,THS_T,BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.0,491.0,475.0,511.0,648.0,640.0,635.0,585.0,625.0,592.0,636.0,299.0,528.0,442.0,94.0,502.0,638.0,471.0,621.0,610.0,577.0,588.0,454.0,689.0,506.0,476.0,483.0,611.0,688.0,582.0,561.0,410.0,619.0,523.0,556.0,522.0,604.0,482.0,191.0,589.0,618.0,525.0,613.0,498.0,469.0,509.0,471.0,279.0,536.0,393.0,358.0,496.0,479.0,446.0,456.0,541.0,392.0,484.0,461.0,523.0,475.0,270.0,52.0,364.0,342.0,446.0,517.0,437.0,354.0,532.0,359.0,440.0,524.0,619.0,134.0,399.0,524.0,390.0,292.0,399.0,452.0,503.0,351.0,367.0,27.93,42.351,53.368,40.233,41.552,39.058,51.703,58.395,37.015,46.537,50.994,56.132,32.277,35.082,44.354,52.326,43.026,51.927,55.654,61.69,67.155,52.563,63.794,94.375,50.566,72.294,85.188,24.536,45.341,71.917,80.509,76.148,55.831,71.558,80.633,102.981,78.22,36.103,38.234,50.578,62.97,55.432,50.841,50.116,48.284,45.116,37.408,44.077,66.492,49.529,14.753,17.494,7.719,9.422,13.924,12.137,4.755,10.882,13.526,8.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
M,O4000,RU,THS_T,CY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,2.0,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,24.0,0.0,0.0,2.0,0.0,0.0,24.0,24.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,24.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,5.0,8.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,32.0,2.0,13.0,1.3,1.947,1.918,,,,,1.893,1.844,3.719,1.911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.6,40.328,0.0,40.295,39.722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
M,O4000,RU,THS_T,CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.0,300.0,260.0,368.0,398.0,378.0,424.0,371.0,387.0,356.0,336.0,322.0,283.0,258.0,341.0,341.0,430.0,391.0,411.0,385.0,432.0,271.0,275.0,358.0,284.0,316.0,391.0,368.0,432.0,386.0,418.0,342.0,332.0,233.0,277.0,260.0,268.0,247.0,178.0,50.0,207.0,283.0,352.0,295.0,377.0,375.0,411.0,406.0,293.0,261.0,366.0,356.0,374.0,391.0,376.0,393.0,424.0,398.0,216.0,270.0,251.0,316.0,376.0,268.0,344.0,342.0,375.0,361.0,380.0,328.0,347.0,346.0,266.0,284.0,290.0,201.0,48.0,380.0,329.0,461.0,481.0,447.0,332.0,324.0,286.0,219.0,342.0,136.0,1.0,13.0,363.0,358.0,397.0,344.0,294.0,274.0,244.0,246.0,297.0,224.0,315.0,220.0,296.0,293.0,326.0,455.0,211.0,302.0,271.0,266.0,327.0,335.0,297.0,275.0,419.0,384.0,439.0,406.0,354.0,396.0,431.0,399.0,331.0,356.0,410.0,409.0,426.0,374.0,423.0,252.0,234.0,263.0,293.0,275.0,341.0,9.0,181.0,60.0,273.0,112.0,181.0,370.0,323.0,297.0,236.0,227.0,59.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
M,O4000,RU,THS_T,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3067.0,2353.0,2658.0,2808.0,3103.0,2794.0,3105.0,3232.0,3063.0,3223.0,3118.0,3100.0,3174.0,2951.0,3256.0,3481.0,2677.0,2068.0,2878.0,3405.0,3025.0,3247.0,3183.0,2949.0,2831.0,2719.0,3256.0,3152.0,3429.0,2660.0,2955.0,3066.0,3295.0,3554.0,3329.0,3775.0,3053.0,3448.0,3953.0,3550.0,3614.0,3601.0,3766.0,3602.0,3220.0,3673.0,3535.0,4070.0,3698.0,3427.0,3594.0,3783.0,3357.0,3018.0,3287.0,3393.0,3281.0,3563.0,3475.0,3516.0,3396.0,3281.0,3348.0,3263.0,3164.0,3231.0,2836.0,3279.0,2743.0,2898.0,3002.0,3317.0,3259.023,3274.517,2652.588,2828.04,1873.596,2427.225,2941.404,2951.209,2541.129,3064.777,3001.289,2981.42,3235.192,3135.085,3662.828,2889.697,2807.899,2858.517,2639.702,2830.861,2455.304,2924.247,2800.252,2661.772,2777.442,2470.321,2588.835,2961.543,2477.589,2511.028,3104.926,3090.471,2580.34,3419.145,3397.727,3212.641,3314.382,2776.722,3214.705,2568.384,2352.218,2298.517,2108.092,2280.127,2003.281,1869.856,1768.84,1753.438,539.848,57.636,46.868,41.332,87.594,80.25,34.873,1.076,0.828,0.684,0.612,0.918,0.0,0.0,0.0,0.0,21.269,0.0,0.0,0.0,0.0,0.0,0.297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.917,0.0,0.0,0.0,
M,O4000,RU,THS_T,DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.0,272.0,157.0,47.0,172.0,126.0,231.0,5.0,75.0,146.0,215.0,90.0,53.0,189.0,53.0,374.0,341.0,159.0,311.0,336.0,77.0,189.0,102.0,287.0,453.0,314.0,457.0,410.0,295.0,482.0,354.0,466.0,253.0,432.0,279.0,361.0,397.0,224.0,525.0,485.0,367.0,332.0,484.0,185.0,578.0,354.0,258.0,408.0,151.0,111.0,179.0,174.0,387.0,91.0,225.0,149.0,264.0,193.0,260.0,90.0,54.0,79.0,195.0,101.0,139.0,284.0,66.0,219.0,132.0,232.0,114.0,62.0,93.0,24.0,182.0,116.0,187.0,70.0,122.0,50.0,89.0,126.0,175.0,28.0,128.0,90.0,103.0,174.0,67.0,103.0,52.0,131.0,180.0,197.0,302.0,225.0,133.0,175.0,103.0,182.0,142.0,53.0,98.0,81.0,208.0,143.0,127.0,251.0,15.0,32.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
M,O4000,RU,THS_T,EA21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676.681,557.915,458.263,617.956,332.989,220.902,576.408,640.825,738.467,516.437,652.324,567.675,523.975,567.505,600.037,661.782,615.519,484.963,622.33,594.621,867.177,394.719,491.868,698.936,651.539,,
M,O4000,RU,THS_T,EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,11.0,16.0,15.0,20.0,19.0,17.0,13.0,17.0,12.0,59.0,28.0,13.0,19.0,41.0,25.0,60.0,41.0,15.0,24.0,9.0,20.0,12.0,10.0,61.0,36.0,63.0,19.0,24.0,24.0,40.0,25.0,24.0,20.0,31.0,23.0,50.0,43.0,35.0,27.0,31.0,36.0,15.0,37.0,25.0,27.0,27.0,34.0,20.0,52.0,67.0,51.0,42.0,56.0,31.0,40.0,42.0,49.0,13.0,26.0,9.0,26.0,12.0,33.0,27.0,33.0,75.0,72.0,83.0,74.0,64.0,34.0,40.0,125.0,98.0,104.0,35.0,50.0,24.0,19.0,17.0,20.0,4.0,60.0,47.0,77.0,77.0,53.0,64.0,41.0,55.0,27.0,72.0,27.0,37.0,93.0,70.0,63.0,54.0,92.0,95.0,75.0,85.0,78.0,62.0,33.0,61.0,66.0,34.0,24.0,28.0,45.0,46.0,51.0,56.0,14.0,12.0,21.0,10.0,13.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
